;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[Einv];[CC_REF];[kt/y];[CC_ANNE];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_op;crit_2_op;crit_3_op;lca_res;Comment
Non-renewable;Other non-renewable;ELECTRICITY;29180.97512;0.206485714;0.091196;0;0.123;0.206485714;0.206485714;0.027262;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.086185811;0.25;0.281;0.3448;0.3448;0.049236;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.083441947;0.27;0.21;0.3148;0.3148;0.036048;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.107597667;0.25;0.316;0;0;-0.07477;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.116301868;0.27;0.432;0;0;-0.10424;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.232603736;0.27;0;0;0;0;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.062940093;0.26;0.204;0.3115;0.3115;0.036311;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.125880186;0.26;0;0;0;0.00E+00;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.047015491;0.2;0.0608;0.2666;0.2666;0.056538;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.113652788;0.2;1.731781176;0;0;-0.12196;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.227305576;0.2;0;0;0;0;
Renewable;Biomass;WOOD;23400;0.0282;0.033712218;0.39;0.0491;0.0118;0.0118;-0.321;
Renewable;Biofuel;WOOD_PRODUCTION;7.02E+04;0.0754;0.067424436;0.39;0.0491;0.0118;0.0118;-0.321;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005914833;0.39;0.0559;0.0118;0.0118;-0.41743;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017657892;0.36;0.121;0.4014;0.4014;0.03441;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;0.0434;0.0039;0.0039;0.000992;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.023711865;0.26;0.0577;0.1501;0.1501;0;
Non-renewable;Other non-renewable;H2;1.00E+15;0.36380236;0.090447437;0;0.083;0.36380236;0.36380236;0.054306;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.11303839;0;1.636742028;0;0;0.066193;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.22607678;0;0;0;0;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.100626412;0;0.065;0.285;0.285;0.483717;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.106715467;0.24570329;0.0798;0.35;0.35;0.070897;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.078180634;0;2.207318004;0;0;0.088415;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.156361268;0;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.107597667;0.24570329;2.749202782;0;0;-0.08881;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.215195334;0.24570329;0;0;0;0;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
