;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[ACI];[LU];[WD];[CC];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_res;crit_2_res;crit_3_res;lca_res;Comment
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.195891596;0;0.000684798;0.665110894;0.465644901;0.463980533;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.188078404;0;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.094039202;0;0.002740707;3.88076873;0.432943797;0.061285677;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.112528774;0.27;0.003175972;33.72094383;1.524201388;-0.112126525;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.225057548;0.27;0;0;0;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.10387139;0.25;0.002987274;31.42808989;1.56513275;-0.084478903;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017901636;0.36;0.000357332;0.70511442;0.009199549;0.030707987;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.087247819;0.27;0.000483465;0.640549711;0.008327287;0.035061041;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;ELECTRICITY;30869.377;0.206485714;0.098062;0;0.000176243;1.566387368;0.050652352;0.025886181;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.050157079;0.2;9.73E-05;0.097224672;0.00557679;0.055469847;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.231540319;0.2;0;0;0;0;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.115770159;0.2;0.000818539;4.830815971;0.531908352;-0.134664418;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.090116834;0.25;0.000622668;0.661072988;0.009211234;0.048208222;
Non-renewable;Other non-renewable;H2;1.00E+15;0.36380236;0.084241301;0;0.000259287;0.449969667;0.030338662;0.387639197;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.139046117;0;0;0;0;0;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.069523058;0;0.000567749;4.339679662;0.480888319;0.058007042;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.065810855;0.26;0.000493499;0.624696962;0.008189301;0.035314475;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.13162171;0.26;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.038547095;0.24570329;0.000270505;0.302158749;0.02828531;0.067437521;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.154408957;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.110087867;0.24570329;0.001285876;3.412179745;0.385921567;-0.097949309;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;1.04E-05;0.012911201;0.001707951;0.000709263;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.024342872;0.26;0;0;0;0;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.006072235;0.39;0.000249186;2.32494783;0.040704347;-0.418765216;
Renewable;Biomass;WOOD;23400;0.034609349;0.034609349;0.39;0.000164176;4.083199227;0.055557445;-0.321896299;
Renewable;Biofuel;WOOD_PRODUCTION;7.02E+04;0.0754;0.085035481;0.39;9.25E-05;9.547217387;0.00500197;-0.342663043;
