;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[ACIDIFICATION];[LAND USE];[WATER DEPLETION];[CC_ANNE];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_res;crit_2_res;crit_3_res;lca_res;Comment
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.094714031;0;0.000767;0.677876;0.469995;0.495068022;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.189428062;0;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.189428062;0;0.002836;4.810454;0.909574;0.098589207;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.159487576;0.27;0.003188;33.6519;1.529334;-0.098280508;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.159487576;0.27;0;0;0;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.111323944;0.25;0.003001;31.37184;1.572564;-0.067353946;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017657892;0.36;0.00037;0.645832;0.009902;0.037903904;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.079743788;0.27;0.000486;0.612884;0.008718;0.036880394;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;ELECTRICITY;27567.31134;0.206485714;0.08433;0;0.000221;1.547265;0.074755;0.039937752;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.04425306;0.2;0.000113;0.087936;0.006112;0.05740668;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.17701224;0.2;0;0;0;0;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.17701224;0.2;0.00088;4.559648;0.844404;-0.109156359;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.082366044;0.25;0.000623;0.632957;0.009637;0.050112445;
Non-renewable;Other non-renewable;H2;0.00E+00;0.36380236;0.088003981;0;0.000291273;0.464020961;0.036250089;0.394630338;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.176007962;0;0;0;0;0;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.176007962;0;0.000595491;4.004857126;0.780650265;0.074861406;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.06015058;0.26;0.000496;0.60191;0.008718;0.037167017;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.12030116;0.26;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.101985823;0.24570329;0.000298;0.299517;0.030303;0.075285978;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.203971646;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.203971646;0.24570329;0.001326;3.201388;0.576491;-0.079134562;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;0.000013;0.010958;0.002155;0.001092725;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.023080857;0.26;0;0;0;0;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.00575743;0.39;0.000252;2.316651;0.04184;-0.416409075;
Renewable;Biomass;WOOD;23400;0.0118;0.032815086;0.39;0.000166;4.068874;0.056015;-0.320374665;
Renewable;Biofuel;WOOD_PRODUCTION;70200;0.0118;0.072;0.39;9.40E-05;9.523815908;0.005314552;-0.341075215;
