;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[Einv];[CC_REF];[kt/y];[CC_ANNE];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_res;crit_2_res;crit_3_res;lca_res;Comment
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.08880165;0;0.065;0.285;0.285;0.483713517;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.1776033;0;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.085465988;0;2.207318004;0;0;0.082202819;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.123848056;0.27;0.432;0;0;-0.104238458;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.247696112;0.27;0;0;0;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.115050221;0.25;0.316;0;0;-0.074772173;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Non-renewable;Fossil fuel;COAL;35000;0.4014;0.017657892;0.36;0.121;0.4014;0.4014;0.034408146;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.076045629;0.27;0.21;0.3148;0.3148;0.036046649;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;ELECTRICITY;26695.86558;0.206485714;0.077464;0;0.123;0.206485714;0.206485714;0.027259645;
Non-renewable;Fossil fuel;GAS;1.50E+06;0.2666;0.041490629;0.2;0.0608;0.2666;0.2666;0.056537308;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.082981258;0.2;0;0;0;0;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.122999212;0.2;1.731781176;0;0;-0.12742139;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.078546277;0.25;0.281;0.3448;0.3448;0.049234487;
Non-renewable;Other non-renewable;H2;1.00E+15;0.36380236;0.08517782;0;0.083;0.36380236;0.36380236;0.390103288;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.17035564;0;0;0;0;0;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.125446402;0;1.636742028;0;0;0.064547228;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.057361066;0.26;0.204;0.3115;0.3115;0.036309939;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.114722132;0.26;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.097256179;0.24570329;0.0798;0.35;0.35;0.070893237;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.194512358;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.115050221;0.24570329;2.749202782;0;0;-0.092223494;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;0.0434;0.0039;0.0039;0.000818517;
Non-renewable;Other non-renewable;WASTE;38204.55;0.1501;0.02244985;0.26;0.0577;0.1501;0.1501;0;
Renewable;Biomass;WET_BIOMASS;41212.5596;0.0118;0.005600028;0.39;0.0559;0.0118;0.0118;-0.417435219;
Renewable;Biomass;WOOD;99914.71806;0.0282;0.031917954;0.39;0.0491;0.0118;0.0118;-0.321000859;
Renewable;Biofuel;WOOD_PRODUCTION;0;0.0754;0.063835908;0.39;0.0491;0.0118;0.0118;-0.340512952;
Others;Others;PT_HEAT;0;0;0;0;0;0;0;0;
Others;Others;ST_HEAT;0;0;0;0;0;0;0;0;
