;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[ACI];[LU];[WD];[CC];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_res;crit_2_res;crit_3_res;lca_res;Comment
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.1728;0;0.000767203;0.677802482;0.470001776;0.495064181;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.219442424;0;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.1097;0;0.002747588;3.558803153;0.700935272;0.075832707;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.131394244;0.27;0.003187639;33.6518259;1.529340629;-0.098284259;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.131394244;0.27;0;0;0;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.122502774;0.25;0.003000983;31.37177118;1.57256968;-0.067357464;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.015545445;0.36;0.000369986;0.645779263;0.009906829;0.03790116;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.063479071;0.27;0.000485668;0.61286224;0.008720483;0.036879227;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;ELECTRICITY;27567.31134;0.206485714;0.063732;0;0.000221063;1.54722081;0.074759162;0.039935413;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.04425306;0.2;0.000112531;0.08792719;0.006112958;0.057406233;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.285774988;0.2;0;0;0;0;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.1429;0.2;0.000847631;4.42823733;0.856286567;-0.116052335;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.065566486;0.25;0.000622883;0.632933753;0.009639469;0.050111236;
Non-renewable;Other non-renewable;H2;1.00E+15;0.36380236;0.0743;0;0.000291273;0.464020961;0.036250089;0.394630338;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.171615477;0;0;0;0;0;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.0858;0;0.000595491;4.004857126;0.780650265;0.074861406;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.047882136;0.26;0.000495685;0.601887565;0.008719785;0.037165842;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.095764273;0.26;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.034;0.24570329;0.00029833;0.299434257;0.030310338;0.075281625;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.35170929;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.1759;0.24570329;0.001305858;3.119988097;0.583850811;-0.083406128;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;1.07325E-05;0.009038622;0.001778462;0.000901471;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.021187834;0.26;0;0;0;0;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005285223;0.39;0.000251895;2.316643691;0.041840468;-0.416409466;
Renewable;Biomass;WOOD;23400;0.0282;0.0328;0.39;0.000165666;4.06886677;0.056015812;-0.320375061;
Renewable;Biofuel;WOOD_PRODUCTION;70200;0.0754;0.064948371;0.39;9.39557E-05;9.523807028;0.005315355;-0.341075681;
