;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[ACI];[LU];[WD];[CC];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_res;crit_2_res;crit_3_res;lca_res;Comment
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.183621928;0;0.000743106;0.687884689;0.468572736;0.483713517;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.204038701;0;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.102019351;0;0.002743519;3.809608773;0.538875299;0.066952084;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.116301868;0.27;0.003191246;33.7255128;1.529132486;-0.104238458;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.232603736;0.27;0;0;0;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.107597667;0.25;0.003005847;31.45232229;1.571873629;-0.074772173;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017657892;0.36;0.000362691;0.675512351;0.009801607;0.034408146;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.083441947;0.27;0.00048499;0.627997715;0.00870674;0.036046649;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;ELECTRICITY;29180.97512;0.206485714;0.091196;0;0.000198032;1.588690305;0.062627906;0.027259645;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.047015491;0.2;0.000110303;0.093177784;0.005913296;0.056537308;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.258657653;0.2;0;0;0;0;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.129328827;0.2;0.000830042;4.742660567;0.660876057;-0.12742139;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.086185811;0.25;0.000624109;0.648255604;0.009613967;0.049234487;
Non-renewable;Other non-renewable;H2;1.00E+15;0.36380236;0.078964848;0;0.000278505;0.459895832;0.033144743;0.390103288;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.155330797;0;0;0;0;0;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.077665399;0;0.00057877;4.273243165;0.599639626;0.064547228;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.062940093;0.26;0.00049513;0.61505867;0.008642527;0.036309939;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.125880186;0.26;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.036132698;0.24570329;0.000284483;0.304867114;0.029540543;0.070893237;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.285942513;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.142971256;0.24570329;0.00129385;3.342000451;0.465499819;-0.092223494;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;1.0599E-05;0.010602297;0.001742594;0.000818517;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.023711865;0.26;0;0;0;0;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005914833;0.39;0.000250968;2.326773547;0.041335264;-0.417435219;
Renewable;Biomass;WOOD;23400;0.0282;0.033712218;0.39;0.000165518;4.078628163;0.055979251;-0.321000859;
Renewable;Biofuel;WOOD_PRODUCTION;7.02E+04;0.0754;0.083110472;0.39;9.35065E-05;9.534807144;0.005215639;-0.34170957;
