;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[ECO];[LU];[MD];[CC];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_res;crit_2_res;crit_3_res;lca_res;Comment
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.208161264;0;3.100356425;0.616260355;3.03E-06;0.435942082;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.172668462;0;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.086334231;0;2.271797342;3.854673808;2.29E-06;0.056672717;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.10875568;0.27;17.57160312;33.67274754;2.45E-06;-0.120333531;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.10875568;0.27;0;0;0;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.10014511;0.25;11.86559577;31.34330225;2.49E-06;-0.094244524;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Non-renewable;Fossil fuel;COAL;0;0.4014;0.01814538;0.36;6.387674165;0.732106821;1.91E-07;0.027707516;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.09105369;0.27;2.244103737;0.651987078;1.12E-07;0.033918439;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;ELECTRICITY;27567.31134;0;0.104928;0;1.276798618;1.534203667;1.51E-06;0.023254474;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.053298668;0.2;0.896770066;0.100161371;1.01E-07;0.054202992;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.204422984;0.2;0;0;0;0;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.102211492;0.2;5.832108548;4.806991157;6.44E-06;-0.140514801;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.09404786;0.25;2.426391535;0.673166559;1.32E-07;0.047024182;
Non-renewable;Other non-renewable;H2;1.00E+15;0.33656258;0.089517754;0;2.569262034;0.441091666;1.58E-06;0.385335801;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.122761436;0;0;0;0;0;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.061380718;0;3.731771768;4.309730809;6.17E-06;0.052793024;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.06868162;0.26;2.256646395;0.63247261;1.35E-07;0.034196735;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.13736324;0.26;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.040961491;0.24570329;1.917927865;0.293620049;5.59E-07;0.064714905;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.154408957;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.077204478;0.24570329;9.9430894;3.410637441;5.97E-06;-0.10249631;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.00387646;0;0.672004432;0.015350559;2.52E-08;0.000589189;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.02497388;0.26;0;0;0;0;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.00622964;0.39;0.852853324;2.315707186;2.66E-07;-0.420102011;
Renewable;Biomass;WOOD;23400;0.0282;0.035506481;0.39;2.004113656;4.08496096;2.39E-07;-0.322879896;
Renewable;Biofuel;WOOD_PRODUCTION;70200;0.0754;0.088885499;0.39;1.179144797;9.560478948;2.33E-07;-0.343798141;
