;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[CC_ANNE];[CC_REF];[kt/y];[CC_ANNE];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_op;crit_2_op;crit_3_op;lca_res;Comment
Non-renewable;Other non-renewable;ELECTRICITY;27567.31134;0.206485714;0.08433;0;0.206485714;0.206485714;0.206485714;0.039937752;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.082366044;0.25;0.3448;0.3448;0.3448;0.050112445;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.079743788;0.27;0.3148;0.3148;0.3148;0.036880394;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.111323944;0.25;0;0;0;-0.067353946;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.159487576;0.27;0;0;0;-0.098280508;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.159487576;0.27;0;0;0;0;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.06015058;0.26;0.3115;0.3115;0.3115;0.037167017;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.12030116;0.26;0;0;0;0;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.04425306;0.2;0.2666;0.2666;0.2666;0.05740668;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.17701224;0.2;0;0;0;-0.109156359;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.17701224;0.2;0;0;0;0;
Renewable;Biomass;WOOD;23400;0.0118;0.032815086;0.39;0.0118;0.0118;0.0118;-0.320374665;
Renewable;Biofuel;WOOD_PRODUCTION;70200;0.0118;0.072;0.39;0.0118;0.0118;0.0118;-0.341075215;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.00575743;0.39;0.0118;0.0118;0.0118;-0.416409075;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017657892;0.36;0.4014;0.4014;0.4014;0.037903904;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;0.0039;0.0039;0.0039;0.001092725;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.023080857;0.26;0.1501;0.1501;0.1501;0;
Non-renewable;Other non-renewable;H2;0.00E+00;0.36380236;0.088003981;0;0.36380236;0.36380236;0.36380236;0.394630338;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.176007962;0;0;0;0;0.074861406;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.176007962;0;0;0;0;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.094714031;0;0.285;0.285;0.285;0.495068022;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.101985823;0.24570329;0.35;0.35;0.35;0.075285978;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.189428062;0;0;0;0;0.098589207;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.189428062;0;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.203971646;0.24570329;0;0;0;-0.079134562;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.203971646;0.24570329;0;0;0;0;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
