;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[Einv];[CC_REF];[kt/y];[CC_ANNE];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_op;crit_2_op;crit_3_op;lca_res;Comment
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.107350297;0;0.065;0.285;0.285;0.463980533;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.214700594;0;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.074537957;0;2.207318004;0;0;0.07567175;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.112528774;0.27;0.432;0;0;-0.112126525;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.225057548;0.27;0;0;0;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.10387139;0.25;0.316;0;0;-0.084478903;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017901636;0.36;0.121;0.4014;0.4014;0.030707987;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.087247819;0.27;0.21;0.3148;0.3148;0.035061041;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;ELECTRICITY;30869.377;0.206485714;0.098062;0;0.123;0.206485714;0.206485714;0.025886181;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.050157079;0.2;0.0608;0.2666;0.2666;0.055469847;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.100314158;0.2;0;0;0;0;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.108979576;0.2;1.731781176;0;0;-0.134664418;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.090116834;0.25;0.281;0.3448;0.3448;0.048208222;
Non-renewable;Other non-renewable;H2;1.00E+15;0.36380236;0.093203627;0;0.083;0.36380236;0.36380236;0.387639197;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.186407254;0;0;0;0;0;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.106834384;0;1.636742028;0;0;0.058007042;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.065810855;0.26;0.204;0.3115;0.3115;0.035314475;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.13162171;0.26;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.111582868;0.24570329;0.0798;0.35;0.35;0.067437521;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.223165736;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.10387139;0.24570329;2.749202782;0;0;-0.097949309;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;0.0434;0.0039;0.0039;0.000709263;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.024342872;0.26;0.0577;0.1501;0.1501;0;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.006072235;0.39;0.0559;0.0118;0.0118;-0.418765216;
Renewable;Biomass;WOOD;23400;0.0282;0.034609349;0.39;0.0491;0.0118;0.0118;-0.321896299;
Renewable;Biofuel;WOOD_PRODUCTION;7.02E+04;0.0754;0.069218698;0.39;0.0491;0.0118;0.0118;-0.342662676;
