;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[Einv];[CC_REF];[kt/y];[CC_ANNE];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_op;crit_2_op;crit_3_op;lca_res;Comment
Non-renewable;Other non-renewable;ELECTRICITY;27567.31134;0.206485714;0.063732;0;0.123;0.206485714;0.206485714;0.039935413;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.065566486;0.25;0.281;0.3448;0.3448;0.050111236;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.063479071;0.27;0.21;0.3148;0.3148;0.036879227;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.122502774;0.25;0.316;0;0;-0.067357464;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.131394244;0.27;0.432;0;0;-0.098284259;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.131394244;0.27;0;0;0;0;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.047882136;0.26;0.204;0.3115;0.3115;0.037165842;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.095764273;0.26;0;0;0;0;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.033636659;0.2;0.0608;0.2666;0.2666;0.057406233;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.132345636;0.2;1.731781176;0;0;-0.116052335;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.264691273;0.2;0;0;0;0;
Renewable;Biomass;WOOD;23400;0.0282;0.030123691;0.39;0.0491;0.0118;0.0118;-0.320375061;
Renewable;Biofuel;WOOD_PRODUCTION;70200;0.0754;0.075;0.39;0.0491;0.0118;0.0118;-0.341075681;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005285223;0.39;0.0559;0.0118;0.0118;-0.416409466;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.015545445;0.36;0.121;0.4014;0.4014;0.03790116;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;0.0434;0.0039;0.0039;0.000901471;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.021187834;0.26;0.0577;0.1501;0.1501;0;
Non-renewable;Other non-renewable;H2;1.00E+15;0.36380236;0.077642645;0;0.083;0.36380236;0.36380236;0.394630338;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.137854413;0;1.636742028;0;0;0.074861406;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.275708826;0;0;0;0;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.071991938;0;0.065;0.285;0.285;0.495064181;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.081184572;0.24570329;0.0798;0.35;0.35;0.075281625;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.092751343;0;2.207318004;0;0;0.091117454;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.185502685;0;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.122502774;0.24570329;2.749202782;0;0;-0.083406128;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.245005548;0.24570329;0;0;0;0;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
