Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;13829.00539;57965.21787;16474.99991;0;[GWh]
Electricity;variable;LIGHTING;0;0;0;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;82758.91194;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;71354.49969;34859.34205;14127.28378;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;14817.70042;21483.47738;14548.89955;0;[GWh]
Cold;low temperature;PROCESS_COOLING;0;0;10241.21947;0;[GWh]
Cold;space cooling;SPACE_COOLING;5607.160147;16227.57563;277.8109606;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;216548.9361;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;133481.4764;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;77511.42524;0;[GWh]
