source,target,realValue,layerID,layerColor,layerUnit
Ammonia,Non-energy demand,0.08,Ammonia,#000ECD,TWh
H2,Haber-Bosch,0.09,H2,#FF00FF,TWh
Elec,Haber-Bosch,0.01,Electricity,#00BFFF,TWh
Haber-Bosch,DHN,0.01,DHN,#FA8072,TWh
Haber-Bosch,Ammonia,0.08,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,1.13,Methanol,#CC0066,TWh
Methanol,Non-energy demand,0.05,Methanol,#CC0066,TWh
Methanol,MTO,1.08,Methanol,#CC0066,TWh
Heat HT,MTO,0.29,Heat HT,#DC143C,TWh
MTO,HVC,0.87,HVC,#00FFFF,TWh
HVC,Non-energy demand,0.87,HVC,#00FFFF,TWh
Gas Prod,Gas,2.74,GAS,#FFD700,TWh
Gas,Boilers,2.74,GAS,#FFD700,TWh
Uranium,Elec,39.73,Nuclear,#FFC0CB,TWh
Wind,Elec,6.04,Wind,#27AE34,TWh
Hydro River,Elec,16.11,Hydro River,#0000FF,TWh
Coal,Boilers,3.81,Coal,#A0522D,TWh
Solar,Elec,9.90,Solar,#FFFF00,TWh
Wet biomass,Biomethanation,9.17,Wood,#CD853F,TWh
Biomethanation,Gas Prod,2.74,GAS,#FFD700,TWh
Elec,Mob priv,25.17,Electricity,#00BFFF,TWh
Elec,Freight,0.71,Electricity,#00BFFF,TWh
Elec,Exp & Loss,5.76,Electricity,#00BFFF,TWh
Elec,Elec demand,26.93,Electricity,#00BFFF,TWh
Elec,Storage,9.78,Electricity,#00BFFF,TWh
Storage,Elec demand,9.68,Electricity,#00BFFF,TWh
Elec,HPs,19.67,Electricity,#00BFFF,TWh
Elec,Heat HT,16.33,Electricity,#00BFFF,TWh
Elec,Electrolyser,15.19,Electricity,#00BFFF,TWh
Heat HT,Electrolyser,2.68,Heat HT,#DC143C,TWh
Electrolyser,H2 prod,14.11,Electricity,#00BFFF,TWh
Electrolyser,DHN,0.27,Heat LT,#FA8072,TWh
H2 prod,H2,14.11,H2,#FF00FF,TWh
H2,Freight,14.03,H2,#FF00FF,TWh
HPs,Dec. sto,11.32,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,32.21,Heat LT,#FA8072,TWh
HPs,DHN,19.12,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,10.52,Heat LT,#FA8072,TWh
Boilers,Heat HT,5.66,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,13.26,Heat LT,#FA8072,TWh
DHN,Loss DHN,0.97,Heat LT,#FA8072,TWh
DHN,DHN Sto,5.18,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,5.05,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,19.02,Heat HT,#DC143C,TWh
