;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[ACI];[LU];[WD];[CC];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_res;crit_2_res;crit_3_res;lca_res;Comment
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.146707151;0;0.000828106;0.611151398;0.470930668;0.517556453;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.235222379;0;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.13556769;0;0.002729757;1.290901133;1.477267828;0.1111667;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.12762115;0.27;0.003215833;33.3689851;1.520622876;-0.083446429;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.247696112;0.27;0;0;0;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.118776497;0.25;0.003050156;31.0387971;1.562776241;-0.046932509;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.016601668;0.36;0.00039217;0.583906137;0.008941717;0.043068191;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.06976235;0.27;0.000492576;0.574127267;0.007926041;0.038904814;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;ELECTRICITY;26695.86558;0.206485714;0.070598;0;0.000742277;1.115694942;0.116064605;0.187384454;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.037563644;0.2;0.000119441;0.075285163;0.006214169;0.059211781;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.312892323;0.2;0;0;0;0;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.187735394;0.2;0.000859839;1.634757428;1.752663248;-0.072652353;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.072056382;0.25;0.000631619;0.593491482;0.008851897;0.052292309;
Non-renewable;Other non-renewable;H2;1.00E+15;0.36380236;0.063090003;0;0.000455092;0.45308917;0.051544024;0.437584102;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.187900158;0;0;0;0;0;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.112740095;0;0.000613589;1.499482934;1.647355097;0.116368036;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.052621601;0.26;0.000502454;0.567059221;0.008063127;0.039330375;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.114722132;0.26;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.028868693;0.24570329;0.00033621;0.270146822;0.030890014;0.086182434;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.417476068;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.241621423;0.24570329;0.001325007;1.351979398;1.122351297;-0.051394989;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;1.15715E-05;0.007180561;0.001851111;0.001078556;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.021818842;0.26;0;0;0;0;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005442625;0.39;0.000262159;2.287380263;0.042954328;-0.414090063;
Renewable;Biomass;WOOD;23400;0.0282;0.031020822;0.39;0.000168065;4.040513015;0.055212834;-0.319029754;
Renewable;Biofuel;WOOD_PRODUCTION;70200;0.0754;0.077335446;0.39;9.65248E-05;9.505141478;0.004988184;-0.33983512;
