;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[ACI];[LU];[WD];[CC];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_res;crit_2_res;crit_3_res;lca_res;Comment
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.162044236;0;0.000787297;0.650065243;0.470396945;0.505466059;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.235222379;0;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.11761119;0;0.002745449;2.816878587;0.989127672;0.090199033;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.123848056;0.27;0.0031892;33.52244041;1.525580388;-0.092023923;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.247696112;0.27;0;0;0;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.115050221;0.25;0.00300303;31.22106996;1.56831723;-0.059067083;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017657892;0.36;0.000376399;0.614935085;0.009478965;0.040562449;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.076045629;0.27;0.000487686;0.594481288;0.008365411;0.03779802;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;ELECTRICITY;26695.86558;0.206485714;0.077464;0;0.00027716;1.41385534;0.088094286;0.086481363;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.041490629;0.2;0.00011433;0.081802309;0.006162805;0.058285133;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.312892323;0.2;0;0;0;0;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.156446161;0.2;0.000860265;3.511207411;1.200477044;-0.097751171;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.078546277;0.25;0.000624945;0.614391164;0.009285947;0.051092335;
Non-renewable;Other non-renewable;H2;1.00E+15;0.36380236;0.069685569;0;0.000314939;0.462490675;0.040451522;0.406681392;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.187900158;0;0;0;0;0;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.093950079;0;0.000608759;3.194840358;1.104175005;0.091782751;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.057361066;0.26;0.000497628;0.585444856;0.008434324;0.038132042;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.114722132;0.26;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.031886689;0.24570329;0.00031557;0.287052691;0.030633566;0.080473491;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.417476068;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.208738034;0.24570329;0.001317079;2.52532089;0.791300291;-0.06970824;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;1.10E-05;0.008001643;0.00181086;0.000984636;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.02244985;0.26;0;0;0;0;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005600028;0.39;0.000252992;2.300500855;0.042368209;-0.415400411;
Renewable;Biomass;WOOD;23400;0.0282;0.031917954;0.39;0.000165941;4.055308034;0.055678624;-0.319789745;
Renewable;Biofuel;WOOD_PRODUCTION;70200;0.0754;0.079260455;0.39;9.46E-05;9.513984239;0.005195499;-0.340513437;
