;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[ACI];[LU];[WD];[CC];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_res;crit_2_res;crit_3_res;lca_res;Comment
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.131370066;0;0.000896453;0.558468836;0.469785301;0.531212687;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.235222379;0;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE_IMPORT;0.00E+00;0;0.154102529;0;0.00271714;0.006386723;1.920629533;0.129387177;
Renewable;Biofuel;BIODIESEL;2.44E+03;0;0.131394244;0.27;0.003267054;33.18275864;1.5131893;-0.072294268;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0;0.247696112;0.27;0;0;0;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.122502774;0.25;0.003126845;30.80661947;1.553759305;-0.030922057;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.015545445;0.36;0.000408774;0.550663705;0.007863808;0.046173616;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.063479071;0.27;0.000503887;0.553768555;0.007168091;0.040453922;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;ELECTRICITY;26695.86558;0.206485714;0.063732;0;0.001717663;0.88759363;0.138456122;0.35505754;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.033636659;0.2;0.000135565;0.067433281;0.005872447;0.060643822;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.312892323;0.2;0;0;0;0;
Renewable;Biofuel;GAS_RE_IMPORT;0.00E+00;0;0.219024626;0.2;0.00086232;0.120758137;2.108978846;-0.057111441;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.065566486;0.25;0.000645355;0.572336338;0.008076689;0.053970555;
Non-renewable;Other non-renewable;H2;1.00E+15;0.36380236;0.056494436;0;0.00120745;0.643331363;0.094425523;0.577696496;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.187900158;0;0;0;0;0;
Renewable;Biofuel;H2_RE_IMPORT;0.00E+00;0;0.13153011;0;0.000653882;0.083505265;2.228508892;0.143587714;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.047882136;0.26;0.000513625;0.547101611;0.007304239;0.040971242;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0.2;0.114722132;0.26;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.025850697;0.24570329;0.00036553;0.247721744;0.030352154;0.092604531;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.417476068;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;0.00E+00;0;0.274504812;0.24570329;0.001341895;0.416004087;1.329525871;-0.038063815;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;1.44E-05;0.006243915;0.001814397;0.001257964;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.021187834;0.26;0;0;0;0;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005285223;0.39;0.000323551;2.272093621;0.04191321;-0.410704883;
Renewable;Biomass;WOOD;23400;0.0282;0.030123691;0.39;0.000172689;4.022189309;0.0544562;-0.318047853;
Renewable;Biofuel;WOOD_PRODUCTION;0;0.0754;0.075410437;0.39;9.94E-05;9.492471603;0.004489563;-0.33901008;
