Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;9862.9;12587.4;44908.3;0;[GWh]
Electricity;variable;LIGHTING;5310.8;9820;14791.7;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;61932.4;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;48562.1;31455.2;16110.7;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;12413.5;7051.2;4174.2;0;[GWh]
Cold;low temperature;PROCESS_COOLING;0;0;10428.45915;0;[GWh]
Cold;space cooling;SPACE_COOLING;1314.184486;3803.356348;309.6656761;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;151204.7584;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;84701.50899;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;53483.52157;0;[GWh]
